year,name,weather,SC Laps
2008,Australian Grand Prix,Dry,12.0
2008,Malaysian Grand Prix,Dry,
2008,Bahrain Grand Prix,Dry,
2008,Spanish Grand Prix,Dry,9.0
2008,Turkish Grand Prix,Dry,2.0
2008,Monaco Grand Prix,Wet,10.0
2008,Canadian Grand Prix,Dry,5.0
2008,French Grand Prix,Dry,
2008,British Grand Prix,Wet,
2008,German Grand Prix,Dry,7.0
2008,Hungarian Grand Prix,Dry,
2008,European Grand Prix,Dry,
2008,Belgian Grand Prix,Varied,
2008,Italian Grand Prix,Wet,2.0
2008,Singapore Grand Prix,Dry,9.0
2008,Japanese Grand Prix,Dry,
2008,Chinese Grand Prix,Dry,
2008,Brazilian Grand Prix,Varied,4.0
2009,Australian Grand Prix,Dry,10.0
2009,Malaysian Grand Prix,Varied,
2009,Chinese Grand Prix,Wet,12.0
2009,Bahrain Grand Prix,Dry,
2009,Spanish Grand Prix,Dry,4.0
2009,Monaco Grand Prix,Dry,
2009,Turkish Grand Prix,Dry,
2009,British Grand Prix,Dry,
2009,German Grand Prix,Dry,
2009,Hungarian Grand Prix,Dry,
2009,European Grand Prix,Dry,
2009,Belgian Grand Prix,Dry,4.0
2009,Italian Grand Prix,Dry,1.0
2009,Singapore Grand Prix,Dry,6.0
2009,Japanese Grand Prix,Dry,5.0
2009,Brazilian Grand Prix,Dry,5.0
2009,Abu Dhabi Grand Prix,Dry,
2010,Bahrain Grand Prix,Dry,
2010,Australian Grand Prix,Varied,4.0
2010,Malaysian Grand Prix,Dry,
2010,Chinese Grand Prix,Varied,7.0
2010,Spanish Grand Prix,Dry,
2010,Monaco Grand Prix,Dry,16.0
2010,Turkish Grand Prix,Dry,
2010,Canadian Grand Prix,Dry,
2010,European Grand Prix,Dry,6.0
2010,British Grand Prix,Dry,3.0
2010,German Grand Prix,Dry,
2010,Hungarian Grand Prix,Dry,3.0
2010,Belgian Grand Prix,Varied,4.0
2010,Italian Grand Prix,Dry,
2010,Singapore Grand Prix,Dry,6.0
2010,Japanese Grand Prix,Dry,6.0
2010,Korean Grand Prix,Wet,26.0
2010,Brazilian Grand Prix,Dry,6.0
2010,Abu Dhabi Grand Prix,Dry,5.0
2011,Australian Grand Prix,Dry,
2011,Malaysian Grand Prix,Dry,
2011,Chinese Grand Prix,Dry,
2011,Turkish Grand Prix,Dry,
2011,Spanish Grand Prix,Dry,
2011,Monaco Grand Prix,Dry,10.0
2011,Canadian Grand Prix,Varied,31.0
2011,European Grand Prix,Dry,
2011,British Grand Prix,Varied,
2011,German Grand Prix,Dry,
2011,Hungarian Grand Prix,Varied,
2011,Belgian Grand Prix,Dry,4.0
2011,Italian Grand Prix,Dry,3.0
2011,Singapore Grand Prix,Dry,5.0
2011,Japanese Grand Prix,Dry,4.0
2011,Korean Grand Prix,Dry,5.0
2011,Indian Grand Prix,Dry,
2011,Abu Dhabi Grand Prix,Dry,
2011,Brazilian Grand Prix,Dry,
2012,Australian Grand Prix,Dry,5.0
2012,Malaysian Grand Prix,Varied,7.0
2012,Chinese Grand Prix,Dry,
2012,Bahrain Grand Prix,Dry,
2012,Spanish Grand Prix,Dry,
2012,Monaco Grand Prix,Dry,2.0
2012,Canadian Grand Prix,Dry,
2012,European Grand Prix,Dry,6.0
2012,British Grand Prix,Dry,
2012,German Grand Prix,Dry,
