year,driverRef,name,clusters
2016,raikkonen,Chinese Grand Prix,2
2016,vettel,Chinese Grand Prix,4
2016,raikkonen,Australian Grand Prix,3
2015,vettel,United States Grand Prix,2
2016,vettel,Australian Grand Prix,3
2015,raikkonen,United States Grand Prix,2
2015,vettel,Hungarian Grand Prix,4
2015,vettel,Mexican Grand Prix,4
2016,raikkonen,Italian Grand Prix,3
2015,raikkonen,Mexican Grand Prix,1
2016,vettel,Italian Grand Prix,3
2015,vettel,Brazilian Grand Prix,1
2015,raikkonen,Brazilian Grand Prix,2
2015,raikkonen,Hungarian Grand Prix,5
2015,vettel,Chinese Grand Prix,4
2015,raikkonen,Australian Grand Prix,2
2015,raikkonen,Chinese Grand Prix,4
2015,vettel,Australian Grand Prix,1
2016,vettel,United States Grand Prix,3
2016,raikkonen,United States Grand Prix,4
2016,vettel,Russian Grand Prix,3
2016,raikkonen,Russian Grand Prix,1
2016,vettel,Belgian Grand Prix,1
2016,raikkonen,Hungarian Grand Prix,3
2016,vettel,Hungarian Grand Prix,1
2015,vettel,Belgian Grand Prix,2
2016,vettel,Mexican Grand Prix,5
2016,raikkonen,Mexican Grand Prix,3
2015,raikkonen,Belgian Grand Prix,1
2015,raikkonen,Italian Grand Prix,1
2015,vettel,Italian Grand Prix,1
2015,raikkonen,Bahrain Grand Prix,2
2015,vettel,Bahrain Grand Prix,3
2016,vettel,Azerbaijan Grand Prix,1
2016,raikkonen,Azerbaijan Grand Prix,1
2016,raikkonen,Belgian Grand Prix,1
2016,vettel,Bahrain Grand Prix,3
2016,raikkonen,Bahrain Grand Prix,2
2016,hulkenberg,Australian Grand Prix,1
2015,perez,United States Grand Prix,2
2016,perez,Australian Grand Prix,1
2016,perez,Azerbaijan Grand Prix,1
2016,hulkenberg,Russian Grand Prix,3
2016,perez,Russian Grand Prix,1
2016,hulkenberg,Azerbaijan Grand Prix,2
2015,hulkenberg,United States Grand Prix,2
2016,perez,Chinese Grand Prix,3
2015,perez,Mexican Grand Prix,4
2016,perez,Mexican Grand Prix,4
2016,perez,United States Grand Prix,2
2016,hulkenberg,United States Grand Prix,4
2015,hulkenberg,Bahrain Grand Prix,3
2015,hulkenberg,Australian Grand Prix,1
2016,hulkenberg,Mexican Grand Prix,5
2015,hulkenberg,Mexican Grand Prix,4
2015,perez,Bahrain Grand Prix,1
2015,perez,Australian Grand Prix,3
2015,perez,Hungarian Grand Prix,5
2016,perez,Bahrain Grand Prix,4
2016,perez,Hungarian Grand Prix,4
2016,hulkenberg,Bahrain Grand Prix,1
2015,hulkenberg,Hungarian Grand Prix,5
2015,perez,Chinese Grand Prix,2
2015,hulkenberg,Chinese Grand Prix,2
2015,hulkenberg,Brazilian Grand Prix,2
2016,hulkenberg,Hungarian Grand Prix,1
2015,perez,Brazilian Grand Prix,3
2016,hulkenberg,Italian Grand Prix,3
2016,perez,Italian Grand Prix,3
2016,hulkenberg,Chinese Grand Prix,3
2016,perez,Belgian Grand Prix,2
2016,hulkenberg,Belgian Grand Prix,1
2015,perez,Belgian Grand Prix,3
2015,perez,Italian Grand Prix,1
2015,hulkenberg,Italian Grand Prix,1
2016,gutierrez,Bahrain Grand Prix,3
2016,grosjean,Bahrain Grand Prix,2
2016,grosjean,Italian Grand Prix,2
2016,gutierrez,Italian Grand Prix,4
2016,grosjean,Mexican Grand Prix,3
2016,grosjean,Hungarian Grand Prix,1
2016,gutierrez,Belgian Grand Prix,1
2016,grosjean,Russian Grand Prix,1
2016,gutierrez,Hungarian Grand Prix,1
2016,grosjean,Belgian Grand Prix,1
2016,gutierrez,Mexican Grand Prix,3
2016,grosjean,Australian Grand Prix,4
2016,gutierrez,Australian Grand Prix,3
2016,grosjean,Azerbaijan Grand Prix,3
2016,gutierrez,Russian Grand Prix,4
2016,gutierrez,Azerbaijan Grand Prix,5
2016,gutierrez,Chinese Grand Prix,4
2016,grosjean,Chinese Grand Prix,4
2016,grosjean,United States Grand Prix,3
2016,gutierrez,United States Grand Prix,4
2015,grosjean,Italian Grand Prix,3
2015,grosjean,Chinese Grand Prix,3
2015,grosjean,Belgian Grand Prix,1
2015,maldonado,Chinese Grand Prix,1
2015,grosjean,Bahrain Grand Prix,1
2015,maldonado,Italian Grand Prix,3
2015,maldonado,Bahrain Grand Prix,3
2015,maldonado,Belgian Grand Prix,3
2015,maldonado,Hungarian Grand Prix,2
2015,grosjean,Brazilian Grand Prix,3
2015,maldonado,Brazilian Grand Prix,4
2015,grosjean,United States Grand Prix,2
2015,maldonado,United States Grand Prix,1
2015,grosjean,Hungarian Grand Prix,3
2015,grosjean,Mexican Grand Prix,2
2015,maldonado,Mexican Grand Prix,2
2016,ocon,Belgian Grand Prix,2
2016,wehrlein,Italian Grand Prix,2
2016,wehrlein,Russian Grand Prix,1
2016,haryanto,Azerbaijan Grand Prix,1
2015,stevens,Belgian Grand Prix,1
2016,wehrlein,Azerbaijan Grand Prix,2
2016,wehrlein,Hungarian Grand Prix,1
2015,rossi,Mexican Grand Prix,2
2016,ocon,Italian Grand Prix,4
2016,ocon,Mexican Grand Prix,4
2016,haryanto,Hungarian Grand Prix,2
2015,stevens,Mexican Grand Prix,2
2016,haryanto,Russian Grand Prix,3
2015,merhi,Italian Grand Prix,1
2015,stevens,Italian Grand Prix,1
2015,stevens,Hungarian Grand Prix,5
2015,merhi,Belgian Grand Prix,1
2015,merhi,Bahrain Grand Prix,1
2015,stevens,Brazilian Grand Prix,2
2015,rossi,Brazilian Grand Prix,2
2016,wehrlein,Chinese Grand Prix,4
2015,merhi,Chinese Grand Prix,1
2015,merhi,Hungarian Grand Prix,3
2016,wehrlein,Bahrain Grand Prix,4
2015,stevens,Bahrain Grand Prix,1
2015,stevens,United States Grand Prix,2
2016,ocon,United States Grand Prix,4
2016,haryanto,Australian Grand Prix,3
2015,rossi,United States Grand Prix,2
2016,wehrlein,Australian Grand Prix,2
2016,haryanto,Chinese Grand Prix,4
2016,haryanto,Bahrain Grand Prix,1
2015,stevens,Chinese Grand Prix,1
2016,wehrlein,United States Grand Prix,2
2015,button,Brazilian Grand Prix,3
2015,alonso,Brazilian Grand Prix,3
2016,alonso,Azerbaijan Grand Prix,5
2016,button,Australian Grand Prix,2
2016,button,Belgian Grand Prix,2
2016,alonso,Belgian Grand Prix,2
2016,alonso,Australian Grand Prix,3
2016,button,Russian Grand Prix,1
2016,alonso,Russian Grand Prix,1
2016,button,Bahrain Grand Prix,3
2016,vandoorne,Bahrain Grand Prix,4
2016,button,Azerbaijan Grand Prix,4
2015,alonso,Belgian Grand Prix,3
2015,button,Belgian Grand Prix,3
2015,alonso,Bahrain Grand Prix,2
2015,button,Australian Grand Prix,1
2016,alonso,Chinese Grand Prix,1
2016,button,Chinese Grand Prix,1
2016,alonso,Mexican Grand Prix,3
2016,button,Mexican Grand Prix,4
2016,alonso,United States Grand Prix,2
2016,button,United States Grand Prix,2
2015,button,Chinese Grand Prix,4
2015,alonso,Chinese Grand Prix,1
2015,alonso,Italian Grand Prix,2
2015,button,Italian Grand Prix,1
2016,alonso,Hungarian Grand Prix,1
