resultId,raceId,driverId,constructorId,grid,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,label
1,18,1,1,1,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
2,18,2,2,5,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
3,18,3,3,7,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
4,18,4,4,11,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
5,18,5,1,3,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
7,18,7,5,17,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
8,18,8,6,15,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
9,18,9,2,2,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
10,18,10,7,18,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,1
11,18,11,8,19,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
12,18,12,4,20,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
13,18,13,6,4,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
14,18,14,9,8,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
15,18,15,7,6,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
16,18,16,10,22,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
17,18,17,9,14,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
18,18,18,11,12,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
20,18,20,5,9,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
21,18,21,10,16,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
22,18,22,11,10,1,16,5.303,58,307.574,321.1,2,0.77,843,5,46,0
23,19,8,6,2,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
24,19,9,2,4,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
25,19,5,1,8,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
26,19,15,7,3,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
27,19,1,1,9,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
28,19,2,2,5,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
29,19,17,9,6,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
30,19,4,4,7,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
31,19,14,9,12,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
32,19,18,11,11,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,1
33,19,12,4,13,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
34,19,21,10,17,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
35,19,22,11,14,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
36,19,3,3,16,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
38,19,11,8,19,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
40,19,20,5,15,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
41,19,13,6,1,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
42,19,16,10,20,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
43,19,10,7,10,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
44,19,7,5,18,2,15,5.543,56,310.408,329,2,0.45,1029,5,40,0
45,20,13,6,2,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
46,20,8,6,4,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
47,20,9,2,1,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
48,20,2,2,6,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
49,20,5,1,5,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
50,20,15,7,7,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
51,20,17,9,11,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
52,20,3,3,8,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
53,20,10,7,13,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
54,20,4,4,10,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,1
55,20,22,11,12,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
56,20,21,10,18,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
57,20,1,1,3,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
59,20,7,5,15,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
61,20,11,8,22,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
62,20,14,9,17,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
63,20,16,10,20,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
64,20,12,4,14,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
65,20,18,11,9,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
66,20,20,5,19,3,15,5.412,57,308.238,329.6,2,0.72,1205,3,56,0
67,21,8,6,1,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
68,21,13,6,3,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
69,21,1,1,5,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
70,21,9,2,4,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
71,21,17,9,7,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
72,21,18,11,13,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
74,21,15,7,8,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
75,21,2,2,9,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
76,21,21,10,19,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,1
77,21,10,7,14,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
78,21,14,9,17,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
79,21,11,8,22,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
80,21,3,3,15,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
81,21,4,4,2,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
82,21,22,11,11,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
83,21,5,1,6,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
85,21,7,5,16,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
86,21,12,4,10,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
87,21,16,10,20,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
88,21,20,5,18,4,16,4.655,66,307.104,332,2,0.72,1310,5,45,0
89,22,13,6,1,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
90,22,1,1,3,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
91,22,8,6,4,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
92,22,9,2,5,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
93,22,2,2,9,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
94,22,4,4,7,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
95,22,17,9,6,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
96,22,3,3,11,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
97,22,14,9,10,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
98,22,15,7,8,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,1
99,22,18,11,13,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
100,22,5,1,2,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
101,22,10,7,15,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
102,22,22,11,12,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
103,22,12,4,17,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
104,22,16,10,19,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
105,22,20,5,14,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
106,22,7,5,18,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
108,22,21,10,20,5,14,5.338,58,309.396,321.4,2,0.69,1200,5,46,0
109,23,1,1,3,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
110,23,9,2,5,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
111,23,13,6,1,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
112,23,17,9,9,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
113,23,20,5,19,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
114,23,22,11,14,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
116,23,5,1,4,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
117,23,8,6,2,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
118,23,4,4,7,6,19,3.337,78,260.286,290,1,0.34,669,5,47,1
119,23,18,11,11,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
120,23,10,7,10,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
121,23,15,7,8,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
122,23,2,2,12,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
123,23,16,10,18,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
124,23,3,3,6,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
125,23,12,4,17,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
126,23,21,10,20,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
127,23,14,9,15,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
128,23,7,5,16,6,19,3.337,78,260.286,290,1,0.34,669,5,47,0
129,24,9,2,2,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
130,24,2,2,8,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
131,24,14,9,13,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
132,24,10,7,11,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
133,24,13,6,6,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
134,24,15,7,14,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
135,24,22,11,9,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
136,24,20,5,19,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
137,24,5,1,7,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
138,24,3,3,5,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,1
139,24,18,11,20,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
140,24,17,9,10,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
141,24,7,5,18,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
142,24,21,10,17,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
144,24,4,4,4,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
145,24,12,4,15,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
146,24,8,6,3,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
147,24,1,1,1,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
148,24,16,10,16,7,14,4.361,70,305.27,315.5,2,0.76,1190,3,52,0
149,25,13,6,2,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
150,25,8,6,1,8,17,4.412,70,308.84,215.5,2,0.65,1000,3,45,1
