constructorId,grid,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,driverId,constructor_error_rate,circuit_error_rate,label
1,1,16,5.303,58,307.574,321.1,2,0.77,843,1,0.155893536,0.126245847,1
2,5,16,5.303,58,307.574,321.1,2,0.77,843,2,0.1,0.126245847,1
3,7,16,5.303,58,307.574,321.1,2,0.77,843,3,0.131428571,0.126245847,1
4,11,16,5.303,58,307.574,321.1,2,0.77,843,4,0.137096774,0.126245847,1
1,3,16,5.303,58,307.574,321.1,2,0.77,843,5,0.155893536,0.126245847,1
5,17,16,5.303,58,307.574,321.1,2,0.77,843,7,0.181415929,0.126245847,1
6,15,16,5.303,58,307.574,321.1,2,0.77,843,8,0.072243346,0.126245847,1
2,2,16,5.303,58,307.574,321.1,2,0.77,843,9,0.1,0.126245847,1
7,18,16,5.303,58,307.574,321.1,2,0.77,843,10,0.146226415,0.126245847,1
8,19,16,5.303,58,307.574,321.1,2,0.77,843,11,0.282051282,0.126245847,0
4,20,16,5.303,58,307.574,321.1,2,0.77,843,12,0.137096774,0.126245847,0
6,4,16,5.303,58,307.574,321.1,2,0.77,843,13,0.072243346,0.126245847,0
9,8,16,5.303,58,307.574,321.1,2,0.77,843,14,0.130612245,0.126245847,0
7,6,16,5.303,58,307.574,321.1,2,0.77,843,15,0.146226415,0.126245847,0
10,22,16,5.303,58,307.574,321.1,2,0.77,843,16,0.086614173,0.126245847,0
9,14,16,5.303,58,307.574,321.1,2,0.77,843,17,0.130612245,0.126245847,0
11,12,16,5.303,58,307.574,321.1,2,0.77,843,18,0.141509434,0.126245847,0
5,9,16,5.303,58,307.574,321.1,2,0.77,843,20,0.181415929,0.126245847,0
10,16,16,5.303,58,307.574,321.1,2,0.77,843,21,0.086614173,0.126245847,0
11,10,16,5.303,58,307.574,321.1,2,0.77,843,22,0.141509434,0.126245847,0
6,2,15,5.543,56,310.408,329,2,0.45,1029,8,0.072243346,0.036184211,1
2,4,15,5.543,56,310.408,329,2,0.45,1029,9,0.1,0.036184211,1
1,8,15,5.543,56,310.408,329,2,0.45,1029,5,0.155893536,0.036184211,1
7,3,15,5.543,56,310.408,329,2,0.45,1029,15,0.146226415,0.036184211,1
1,9,15,5.543,56,310.408,329,2,0.45,1029,1,0.155893536,0.036184211,1
2,5,15,5.543,56,310.408,329,2,0.45,1029,2,0.1,0.036184211,1
9,6,15,5.543,56,310.408,329,2,0.45,1029,17,0.130612245,0.036184211,1
4,7,15,5.543,56,310.408,329,2,0.45,1029,4,0.137096774,0.036184211,1
9,12,15,5.543,56,310.408,329,2,0.45,1029,14,0.130612245,0.036184211,1
11,11,15,5.543,56,310.408,329,2,0.45,1029,18,0.141509434,0.036184211,1
4,13,15,5.543,56,310.408,329,2,0.45,1029,12,0.137096774,0.036184211,0
10,17,15,5.543,56,310.408,329,2,0.45,1029,21,0.086614173,0.036184211,0
11,14,15,5.543,56,310.408,329,2,0.45,1029,22,0.141509434,0.036184211,0
3,16,15,5.543,56,310.408,329,2,0.45,1029,3,0.131428571,0.036184211,0
8,19,15,5.543,56,310.408,329,2,0.45,1029,11,0.282051282,0.036184211,0
5,15,15,5.543,56,310.408,329,2,0.45,1029,20,0.181415929,0.036184211,0
6,1,15,5.543,56,310.408,329,2,0.45,1029,13,0.072243346,0.036184211,0
10,20,15,5.543,56,310.408,329,2,0.45,1029,16,0.086614173,0.036184211,0
7,10,15,5.543,56,310.408,329,2,0.45,1029,10,0.146226415,0.036184211,0
5,18,15,5.543,56,310.408,329,2,0.45,1029,7,0.181415929,0.036184211,0
6,2,15,5.412,57,308.238,329.6,2,0.72,1205,13,0.072243346,0.028571429,1
6,4,15,5.412,57,308.238,329.6,2,0.72,1205,8,0.072243346,0.028571429,1
2,1,15,5.412,57,308.238,329.6,2,0.72,1205,9,0.1,0.028571429,1
2,6,15,5.412,57,308.238,329.6,2,0.72,1205,2,0.1,0.028571429,1
1,5,15,5.412,57,308.238,329.6,2,0.72,1205,5,0.155893536,0.028571429,1
7,7,15,5.412,57,308.238,329.6,2,0.72,1205,15,0.146226415,0.028571429,1
9,11,15,5.412,57,308.238,329.6,2,0.72,1205,17,0.130612245,0.028571429,1
3,8,15,5.412,57,308.238,329.6,2,0.72,1205,3,0.131428571,0.028571429,1
