driverStandingsId,raceId,driverId,points,positionText,wins,year
12782,107,30,148.0,1,13,2004
12783,107,22,114.0,2,2,2004
12787,107,18,85.0,3,0,2004
12784,107,4,59.0,4,0,2004
12786,107,31,58.0,5,1,2004
12788,107,15,46.0,6,1,2004
12801,107,8,45.0,7,1,2004
12790,107,11,34.0,8,0,2004
12785,107,23,24.0,9,0,2004
12789,107,14,24.0,10,0,2004
12791,107,21,22.0,11,0,2004
12796,107,13,12.0,12,0,2004
12799,107,17,7.0,13,0,2004
12794,107,44,6.0,14,0,2004
12804,107,42,6.0,15,0,2004
12792,107,32,3.0,16,0,2004
12793,107,43,3.0,17,0,2004
12800,107,2,3.0,18,0,2004
12802,107,10,2.0,19,0,2004
12798,107,47,1.0,20,0,2004
12806,107,35,0.0,21,0,2004
12805,107,41,0.0,22,0,2004
12803,107,48,0.0,23,0,2004
12795,107,45,0.0,24,0,2004
12797,107,46,0.0,25,0,2004
1600,89,4,133.0,1,7,2005
1605,89,8,112.0,2,7,2005
1614,89,30,62.0,3,1,2005
1603,89,31,60.0,4,3,2005
1598,89,21,58.0,5,1,2005
1608,89,23,45.0,6,0,2005
1606,89,15,43.0,7,0,2005
1599,89,22,38.0,8,0,2005
1619,89,18,37.0,9,0,2005
1602,89,17,36.0,10,0,2005
1613,89,2,28.0,11,0,2005
1601,89,14,24.0,12,0,2005
1607,89,13,11.0,13,0,2005
1609,89,35,9.0,14,0,2005
1604,89,32,9.0,15,0,2005
1611,89,33,7.0,16,0,2005
1617,89,25,6.0,17,0,2005
1610,89,39,5.0,18,0,2005
1615,89,27,4.0,19,0,2005
1616,89,37,4.0,20,0,2005
1612,89,40,3.0,21,0,2005
1622,89,42,2.0,22,0,2005
1620,89,11,1.0,23,0,2005
1618,89,24,1.0,24,0,2005
1621,89,38,0.0,25,0,2005
13202,70,4,134.0,1,7,2006
13203,70,30,121.0,2,7,2006
13210,70,13,80.0,3,2,2006
13220,70,21,72.0,4,1,2006
13204,70,8,65.0,5,0,2006
13205,70,18,56.0,6,1,2006
13216,70,22,30.0,7,0,2006
13206,70,31,26.0,8,0,2006
13213,70,2,23.0,9,0,2006
13215,70,23,20.0,10,0,2006
13225,70,37,19.0,11,0,2006
13217,70,15,15.0,12,0,2006
13211,70,14,14.0,13,0,2006
13207,70,17,7.0,14,0,2006
13221,70,35,7.0,15,0,2006
13226,70,9,6.0,16,0,2006
13208,70,3,4.0,17,0,2006
13209,70,32,2.0,18,0,2006
13212,70,24,1.0,19,0,2006
13214,70,26,0.0,20,0,2006
13218,70,33,0.0,21,0,2006
13222,70,27,0.0,22,0,2006
13219,70,11,0.0,23,0,2006
13227,70,38,0.0,24,0,2006
13223,70,34,0.0,25,0,2006
13228,70,29,0.0,26,0,2006
13224,70,36,0.0,27,0,2006
13972,52,8,110.0,1,6,2007
13974,52,1,109.0,2,4,2007
13973,52,4,109.0,3,4,2007
13977,52,13,94.0,4,3,2007
13975,52,2,61.0,5,0,2007
13991,52,9,39.0,6,0,2007
13981,52,5,30.0,7,0,2007
13976,52,21,21.0,8,0,2007
13978,52,3,20.0,9,0,2007
13993,52,14,14.0,10,0,2007
13989,52,25,13.0,11,0,2007
13984,52,17,10.0,12,0,2007
13980,52,15,8.0,13,0,2007
13994,52,20,6.0,14,0,2007
13986,52,18,6.0,15,0,2007
13979,52,23,5.0,16,0,2007
13983,52,11,4.0,17,0,2007
13985,52,24,3.0,18,0,2007
13988,52,16,1.0,19,0,2007
13982,52,22,0.0,20,0,2007
13990,52,26,0.0,21,0,2007
13996,52,6,0.0,22,0,2007
13987,52,19,0.0,23,0,2007
13995,52,29,0.0,24,0,2007
13992,52,27,0.0,25,0,2007
355,35,1,98.0,1,5,2008
373,35,13,97.0,2,6,2008
362,35,8,75.0,3,2,2008
363,35,9,75.0,4,1,2008
358,35,4,61.0,5,2,2008
