raceId,driverId,stop,lap,milliseconds
841,153,1,1,26898
841,30,1,1,25021
841,17,1,11,23426
841,4,1,12,23251
841,13,1,13,23842
841,22,1,13,23643
841,20,1,14,22603
841,814,1,14,24863
841,816,1,14,25259
841,67,1,15,25342
841,2,1,15,22994
841,1,1,16,23227
841,808,1,16,24535
841,3,1,16,23716
841,155,1,16,24064
841,16,1,16,25978
841,15,1,16,24899
841,18,1,17,16867
841,153,2,17,24463
841,5,1,17,24865
841,30,2,17,23988
841,10,1,18,23792
841,18,2,19,23303
841,815,1,23,23438
841,22,2,23,37856
841,17,2,26,22520
841,4,2,27,24733
841,22,3,28,16892
841,67,2,29,23100
841,2,2,30,25098
841,13,2,31,24500
841,155,2,32,24192
841,20,2,36,24036
841,1,2,36,23199
841,153,3,35,26348
841,808,2,36,25683
841,814,2,36,24332
841,18,3,37,22681
841,16,2,37,23871
841,15,2,37,24848
841,816,2,38,26446
841,17,3,41,26230
841,22,4,40,26309
841,4,3,42,24181
841,13,3,48,24095
842,16,1,3,31694
842,22,1,3,32978
842,17,1,10,22572
842,814,1,11,22773
842,1,1,12,22552
842,20,1,13,23019
842,2,1,13,23900
842,18,1,13,22400
842,13,1,13,29224
842,15,1,13,25516
842,4,1,14,23152
842,30,1,14,22576
842,808,1,15,23182
842,67,1,15,23280
842,3,1,15,24967
842,5,1,15,29084
842,153,1,16,23584
842,16,2,16,22046
842,155,1,17,23280
842,815,1,17,23597
842,10,1,17,24617
842,816,1,17,26252
842,24,1,17,27815
842,22,2,17,24502
842,67,2,20,29843
842,17,2,22,21991
842,18,2,23,22471
842,1,2,24,22611
842,814,2,24,22419
842,20,2,25,21893
842,4,2,26,23894
842,2,2,26,23221
842,13,2,27,22541
842,808,2,27,22680
842,30,2,28,22261
842,3,2,29,22577
842,17,3,32,22069
842,153,2,32,22888
842,16,3,32,22550
842,67,3,32,27439
842,5,2,34,23336
842,10,2,34,24429
842,816,2,35,24416
842,155,2,36,23442
842,1,3,37,25382
842,814,3,37,23977
842,18,3,38,22483
842,13,3,38,22893
842,2,3,39,22602
842,24,2,38,26554
842,3,3,40,22526
842,20,3,41,22313
842,4,3,41,23812
