driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
1,131,1,0.33,0.33,0.33,0,0.67,1,0,14691,0.073046093,1,0.009615385,0.073717949,0.126245847,1
1,131,3,0,0.67,0.33,0,0.33,1,0,23758,0.073046093,1,0.009615385,0.073717949,0.028571429,1
1,131,17,0,1,0,0,0.33,1,0,21944.66667,0.073046093,22,0.009615385,0.073717949,0.046357616,2
1,131,71,0,1,0,0,0.5,1,0,0,0.073046093,10,0.009615385,0.073717949,0.108433735,1
1,131,4,0,0.67,0,0,0,1,0,21670.66667,0.073046093,1,0.009615385,0.073717949,0.069536424,0
1,131,6,0,0.67,0,0,1,1,0,25935,0.073046093,3,0.009615385,0.073717949,0.160535117,1
1,131,7,0.33,0.67,0,0,0.33,1,0,22639.33333,0.073046093,1,0.009615385,0.073717949,0.106382979,1
1,131,70,0,1,0,0,0.5,1,0,22212,0.073046093,1,0.009615385,0.073717949,0.023809524,1
1,131,9,0,0.67,0,0,1,0.67,0,27635,0.073046093,1,0.009615385,0.073717949,0.066225166,1
1,131,11,0,0.67,0.33,0,0.67,0.67,0,20693,0.073046093,2,0.009615385,0.073717949,0.043046358,1
1,131,13,0.33,0.67,0,0,0.33,1,0,23464.66667,0.073046093,21,0.009615385,0.073717949,0.103571429,1
1,131,14,0,0.67,0.33,0,0,1,0,24378.66667,0.073046093,1,0.009615385,0.073717949,0.043046358,1
1,131,15,0.33,0.33,0.33,0,1,1,0,29100.5,0.073046093,3,0.009615385,0.073717949,0.114678899,1
1,131,2,0,1,0,0,0.33,0.67,0,23311.33333,0.073046093,1,0.009615385,0.073717949,0.036184211,0
1,131,22,0.33,0.67,0,0,0.33,0.67,0.33,24046.33333,0.073046093,2,0.009615385,0.073717949,0.073359073,1
1,131,69,0,0.67,0,0,1,0.67,0,24078.66667,0.073046093,1,0.009615385,0.073717949,0.047619048,1
1,131,32,0,1,0,0,1,1,0,22328,0.073046093,1,0.009615385,0.073717949,0.048387097,1
1,131,18,0,0.67,0.33,0,0,1,0,21065,0.073046093,1,0.009615385,0.073717949,0.097643098,1
1,131,24,0,0.67,0.33,0,0,1,0,21629.33333,0.073046093,1,0.009615385,0.073717949,0.045918367,1
1,131,1,0.33,0.67,0,0,1,1,0,11147.5,0.058989332,1,0.009615385,0.073717949,0.126245847,1
1,131,17,0,0.67,0.33,0,0.67,1,0,22977.33333,0.058989332,1,0.009615385,0.073717949,0.046357616,1
1,131,3,0,1,0,0,0.33,1,0,24732.66667,0.058989332,2,0.009615385,0.073717949,0.028571429,1
1,131,71,0,1,0,0,0.67,1,0,0,0.058989332,4,0.009615385,0.073717949,0.108433735,2
1,131,4,0.33,0.67,0,0.33,0.33,1,0,15185,0.058989332,1,0.009615385,0.073717949,0.069536424,1
1,131,6,0,1,0,0,1,0.67,0,26439.66667,0.058989332,13,0.009615385,0.073717949,0.160535117,2
1,131,7,0.33,0.67,0,0,0.67,1,0,23168.33333,0.058989332,1,0.009615385,0.073717949,0.106382979,1
