driverId,constructorId,circuitId,Medium_x,Soft_x,Super Soft_x,Ultra soft,Hard_x,grid,Super Soft_y,Soft_y,Medium_y,Hard_y,Ultra Soft,Recommended_pits,Wet,turns,race_laps,race_distance,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,clusters
1,131,1,1,6,6,0,0,1,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
3,131,1,2,5,6,0,0,2,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
20,6,1,2,5,6,0,0,3,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
8,6,1,2,5,6,0,0,4,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
822,3,1,1,5,7,0,0,16,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
13,3,1,1,5,7,0,0,6,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
817,9,1,2,4,7,0,0,8,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
815,10,1,2,5,6,0,0,9,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
4,1,1,1,5,7,0,0,11,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
18,1,1,1,5,7,0,0,12,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,2
828,15,1,1,6,6,0,0,15,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,1
836,209,1,4,4,5,0,0,21,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,2
837,209,1,4,4,5,0,0,22,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,3
154,210,1,1,5,7,0,0,19,1,1,1,0,0,3,0,16,58,307.574,0.77,843,3,46,4
1,131,1,0,1,6,6,0,1,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
20,6,1,0,2,5,6,0,2,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
8,6,1,0,2,5,6,0,4,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
822,131,1,0,1,5,7,0,3,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
13,3,1,0,1,5,7,0,7,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
817,9,1,0,2,4,7,0,0,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
815,10,1,0,2,5,6,0,10,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
4,1,1,0,1,5,7,0,12,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,3
828,15,1,0,1,6,6,0,14,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,1
154,210,1,0,1,5,7,0,6,1,1,0,0,1,3,0,16,58,307.574,0.77,843,3,46,4
1,131,3,1,6,6,0,0,1,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
3,131,3,1,6,6,0,0,2,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
20,6,3,3,4,6,0,0,3,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
8,6,3,3,4,6,0,0,4,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
822,3,3,3,3,7,0,0,6,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
13,3,3,3,3,7,0,0,7,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
817,9,3,2,5,6,0,0,5,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
826,9,3,1,7,5,0,0,15,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
815,10,3,2,5,6,0,0,18,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
18,1,3,4,4,5,0,0,14,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
828,15,3,3,4,6,0,0,17,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
836,209,3,4,5,4,0,0,16,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
837,209,3,4,5,4,0,0,20,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
154,210,3,2,4,7,0,0,9,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
1,131,3,1,6,6,0,0,2,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
20,6,3,3,4,6,0,0,3,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,3
8,6,3,3,4,6,0,0,5,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
822,131,3,3,3,7,0,0,1,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
13,3,3,3,3,7,0,0,8,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
817,9,3,2,5,6,0,0,4,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
826,5,3,1,7,5,0,0,11,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
815,10,3,2,5,6,0,0,18,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
828,15,3,3,4,6,0,0,19,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,1
836,15,3,4,5,4,0,0,13,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,4
154,210,3,2,4,7,0,0,9,1,1,1,0,0,3,0,15,57,308.238,0.72,1205,2,56,2
1,131,17,4,4,5,0,0,22,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
3,131,17,3,5,5,0,0,1,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
20,6,17,3,4,6,0,0,4,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
8,6,17,3,4,6,0,0,3,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
822,3,17,2,4,7,0,0,5,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
13,3,17,1,5,7,0,0,10,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,2
817,9,17,2,5,6,0,0,2,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
826,9,17,2,5,6,0,0,6,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
815,10,17,2,5,6,0,0,7,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,3
4,1,17,2,4,7,0,0,11,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
18,1,17,2,4,7,0,0,12,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
828,15,17,5,4,4,0,0,15,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,1
836,209,17,4,5,4,0,0,21,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
837,209,17,4,5,4,0,0,20,1,1,1,0,0,3,0,16,56,305.066,0.54,1397,3,51,4
