resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
1,18,1,1,1,Finished,1,16,58,0.77,0.009615385,0.155893536,0.126245847,1
2,18,2,5,1,Finished,1,16,58,0.77,0.016949153,0.1,0.126245847,1
3,18,3,7,1,Finished,1,16,58,0.77,0.004854369,0.131428571,0.126245847,1
4,18,4,11,1,Finished,1,16,58,0.77,0.011538462,0.137096774,0.126245847,1
5,18,5,3,1,Finished,1,16,58,0.77,0.017857143,0.155893536,0.126245847,1
7,18,7,17,5,Constructor,1,16,58,0.77,0.037037037,0.181415929,0.126245847,1
8,18,8,15,5,Constructor,1,16,58,0.77,0.00896861,0.072243346,0.126245847,1
9,18,9,2,4,Track,1,16,58,0.77,0.026315789,0.1,0.126245847,1
10,18,10,18,3,Track,1,16,58,0.77,0.021505376,0.146226415,0.126245847,1
11,18,11,19,7,Constructor,1,16,58,0.77,0.082191781,0.282051282,0.126245847,0
12,18,12,20,8,Constructor,1,16,58,0.77,0.107142857,0.137096774,0.126245847,0
13,18,13,4,5,Constructor,1,16,58,0.77,0.019685039,0.072243346,0.126245847,0
14,18,14,8,4,Track,1,16,58,0.77,0.011111111,0.130612245,0.126245847,0
15,18,15,6,10,Constructor,1,16,58,0.77,0.013986014,0.146226415,0.126245847,0
16,18,16,22,9,Constructor,1,16,58,0.77,0.0234375,0.086614173,0.126245847,0
17,18,17,14,4,Track,1,16,58,0.77,0.010869565,0.130612245,0.126245847,0
18,18,18,12,4,Track,1,16,58,0.77,0.020661157,0.141509434,0.126245847,0
20,18,20,9,4,Track,1,16,58,0.77,0.010050251,0.181415929,0.126245847,0
21,18,21,16,4,Track,1,16,58,0.77,0.056074766,0.086614173,0.126245847,0
22,18,22,10,2,Team,1,16,58,0.77,0.006896552,0.141509434,0.126245847,0
23,19,8,2,1,Finished,2,15,56,0.45,0.00896861,0.072243346,0.036184211,1
24,19,9,4,1,Finished,2,15,56,0.45,0.026315789,0.1,0.036184211,1
25,19,5,8,1,Finished,2,15,56,0.45,0.017857143,0.155893536,0.036184211,1
26,19,15,3,1,Finished,2,15,56,0.45,0.013986014,0.146226415,0.036184211,1
27,19,1,9,1,Finished,2,15,56,0.45,0.009615385,0.155893536,0.036184211,1
28,19,2,5,1,Finished,2,15,56,0.45,0.016949153,0.1,0.036184211,1
29,19,17,6,1,Finished,2,15,56,0.45,0.010869565,0.130612245,0.036184211,1
30,19,4,7,1,Finished,2,15,56,0.45,0.011538462,0.137096774,0.036184211,1
31,19,14,12,1,Finished,2,15,56,0.45,0.011111111,0.130612245,0.036184211,1
32,19,18,11,1,Finished,2,15,56,0.45,0.020661157,0.141509434,0.036184211,1
33,19,12,13,1,Finished,2,15,56,0.45,0.107142857,0.137096774,0.036184211,0
34,19,21,17,11,Finished,2,15,56,0.45,0.056074766,0.086614173,0.036184211,0
35,19,22,14,11,Finished,2,15,56,0.45,0.006896552,0.141509434,0.036184211,0
36,19,3,16,11,Finished,2,15,56,0.45,0.004854369,0.131428571,0.036184211,0
38,19,11,19,12,Finished,2,15,56,0.45,0.082191781,0.282051282,0.036184211,0
40,19,20,15,5,Constructor,2,15,56,0.45,0.010050251,0.181415929,0.036184211,0
41,19,13,1,20,Driver,2,15,56,0.45,0.019685039,0.072243346,0.036184211,0
42,19,16,20,9,Constructor,2,15,56,0.45,0.0234375,0.086614173,0.036184211,0
43,19,10,10,4,Track,2,15,56,0.45,0.021505376,0.146226415,0.036184211,0
44,19,7,18,20,Driver,2,15,56,0.45,0.037037037,0.181415929,0.036184211,0
45,20,13,2,1,Finished,3,15,57,0.72,0.019685039,0.072243346,0.028571429,1
46,20,8,4,1,Finished,3,15,57,0.72,0.00896861,0.072243346,0.028571429,1
47,20,9,1,1,Finished,3,15,57,0.72,0.026315789,0.1,0.028571429,1
48,20,2,6,1,Finished,3,15,57,0.72,0.016949153,0.1,0.028571429,1
49,20,5,5,1,Finished,3,15,57,0.72,0.017857143,0.155893536,0.028571429,1
