circuitId,name,country,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,fuel_used_per_lap
1,Albert Park Grand Prix Circuit,Australia,16,,,,,,,,,,
2,Sepang International Circuit,Malaysia,15,,,,,,,,,,
3,Bahrain International Circuit,Bahrain,15,,,,,,,,,,
4,Circuit de Barcelona-Catalunya,Spain,16,,,,,,,,,,
5,Istanbul Park,Turkey,14,,,,,,,,,,
6,Circuit de Monaco,Monaco,19,,,,,,,,,,
7,Circuit Gilles Villeneuve,Canada,14,,,,,,,,,,
8,Circuit de Nevers Magny-Cours,France,17,,,,,,,,,,
9,Silverstone Circuit,UK,18,,,,,,,,,,
10,Hockenheimring,Germany,17,,,,,,,,,,
11,Hungaroring,Hungary,14,,,,,,,,,,
12,Valencia Street Circuit,Spain,25,,,,,,,,,,
13,Circuit de Spa-Francorchamps,Belgium,19,,,,,,,,,,
14,Autodromo Nazionale di Monza,Italy,11,,,,,,,,,,
15,Marina Bay Street Circuit,Singapore,23,,,,,,,,,,
16,Fuji Speedway,Japan,16,,,,,,,,,,
17,Shanghai International Circuit,China,16,,,,,,,,,,
18,Autodromo Jose Carlos Pace,Brazil,15,,,,,,,,,,
19,Indianapolis Motor Speedway,USA,13,,,,,,,,,,
20,Nurburgring,Germany,15,,,,,,,,,,
21,Autodromo Enzo e Dino Ferrari,Italy,21,,,,,,,,,,
22,Suzuka Circuit,Japan,18,,,,,,,,,,
23,A1-Ring,Austria,10,,,,,,,,,,
24,Yas Marina Circuit,UAE,21,,,,,,,,,,
25,Autodromo Juan y Oscar Galvez,Argentina,14,,,,,,,,,,
26,Circuito de Jerez,Spain,13,,,,,,,,,,
27,Autodromo do Estoril,Portugal,13,,,,,,,,,,
28,Okayama International Circuit,Japan,13,,,,,,,,,,
29,Adelaide Street Circuit,Australia,16,,,,,,,,,,
30,Kyalami,South Africa,16,,,,,,,,,,
31,Donington Park,UK,12,,,,,,,,,,
32,Autodromo Hermanos Rodriguez,Mexico,17,,,,,,,,,,
33,Phoenix street circuit,USA,15,,,,,,,,,,
34,Circuit Paul Ricard,France,15,,,,,,,,,,
35,Korean International Circuit,Korea,18,,,,,,,,,,
36,Autodromo Internacional Nelson Piquet,Brazil,13,,,,,,,,,,
37,Detroit Street Circuit,USA,24,,,,,,,,,,
38,Brands Hatch,UK,9,,,,,,,,,,
39,Circuit Park Zandvoort,Netherlands,14,,,,,,,,,,
40,Zolder,Belgium,10,,,,,,,,,,
41,Dijon-Prenois,France,9,,,,,,,,,,
42,Fair Park,USA,23,,,,,,,,,,
43,Long Beach,USA,11,,,,,,,,,,
44,Las Vegas Street Circuit,USA,14,,,,,,,,,,
45,Jarama,Spain,11,,,,,,,,,,
46,Watkins Glen,USA,11,,,,,,,,,,
47,Scandinavian Raceway,Sweden,8,,,,,,,,,,
48,Mosport International Raceway,Canada,10,,,,,,,,,,
49,Montjuic circuit,Spain,12,,,,,,,,,,
50,Nivelles-Baulers,Belgium,7,,,,,,,,,,
51,Charade Circuit,France,18,,,,,,,,,,
52,Circuit Mont-Tremblant,Canada,15,,,,,,,,,,
53,Rouen-Les-Essarts,France,13,,,,,,,,,,
54,Le Mans,France,11,,,,,,,,,,
55,Reims-Gueux,France,7,,,,,,,,,,
56,Prince George Circuit,South Africa,8,,,,,,,,,,
57,Zeltweg,Austria,4,,,,,,,,,,
58,Aintree,UK,8,,,,,,,,,,
59,Circuito da Boavista,Portugal,12,,,,,,,,,,
60,Riverside International Raceway,USA,9,,,,,,,,,,
61,AVUS,Germany,4,,,,,,,,,,
62,Monsanto Park Circuit,Portugal,9,,,,,,,,,,
63,Sebring International Raceway,USA,17,,,,,,,,,,
64,Ain Diab,Morocco,4,,,,,,,,,,
65,Pescara Circuit,Italy,49,,,,,,,,,,
66,Circuit Bremgarten,Switzerland,13,,,,,,,,,,
67,Circuit de Pedralbes,Spain,6,,,,,,,,,,
68,Buddh International Circuit,India,16,,,,,,,,,,
69,Circuit of the Americas,USA,20,,,,,,,,,,
70,Red Bull Ring,Austria,10,,,,,,,,,,
71,Sochi Autodrom,Russia,18,,,,,,,,,,
72,Port Imperial Street Circuit,USA,19,,,,,,,,,,
73,Baku City Circuit,Azerbaijan,20,,,,,,,,,,
